,time_since_ri,wind_speed
0,-3 days +06:00:00,10.769817352294922
1,-1 days +06:00:00,10.664522171020508
2,-1 days +18:00:00,15.395299911499023
3,0 days 00:00:00,18.071552276611328
4,0 days 06:00:00,22.389503479003906
5,0 days 18:00:00,7.187965393066406
6,-1 days +12:00:00,14.458392143249512
7,-1 days +18:00:00,
8,0 days 00:00:00,12.769567489624023
9,0 days 12:00:00,15.510148048400879
10,0 days 18:00:00,27.212356567382812
11,1 days 00:00:00,15.861780166625977
12,-1 days +00:00:00,12.075764656066895
13,-1 days +06:00:00,11.632692337036133
14,-1 days +12:00:00,11.268510818481445
15,0 days 00:00:00,11.573707580566406
16,0 days 06:00:00,20.694091796875
17,0 days 12:00:00,13.198512077331543
18,1 days 00:00:00,
19,-1 days +06:00:00,11.268510818481445
20,-1 days +18:00:00,11.573707580566406
21,0 days 00:00:00,20.694091796875
22,0 days 06:00:00,13.198512077331543
23,0 days 18:00:00,
24,1 days 00:00:00,
25,1 days 18:00:00,13.658586502075195
26,2 days 00:00:00,26.843996047973633
27,2 days 18:00:00,12.880537986755371
28,-2 days +21:00:00,
29,-1 days +03:00:00,
30,-1 days +09:00:00,13.796085357666016
31,-1 days +21:00:00,
32,0 days 03:00:00,15.354448318481445
33,0 days 09:00:00,15.715478897094727
34,0 days 21:00:00,40.79509735107422
35,-1 days +12:00:00,7.810065746307373
36,-1 days +18:00:00,12.338582992553711
37,0 days 00:00:00,3.848478317260742
38,0 days 12:00:00,13.42747688293457
39,0 days 18:00:00,
40,-1 days +12:00:00,
41,0 days 00:00:00,10.089329719543457
42,0 days 06:00:00,12.143943786621094
43,0 days 12:00:00,
44,1 days 00:00:00,3.1143763065338135
45,1 days 06:00:00,
46,-1 days +09:00:00,
47,-1 days +21:00:00,10.089329719543457
48,0 days 03:00:00,12.143943786621094
49,0 days 09:00:00,
50,0 days 21:00:00,3.1143763065338135
51,1 days 03:00:00,
52,-1 days +12:00:00,11.682271003723145
53,0 days 00:00:00,14.472063064575195
54,0 days 12:00:00,12.859811782836914
55,1 days 00:00:00,12.733513832092285
56,5 days 12:00:00,17.714366912841797
57,5 days 18:00:00,
58,-1 days +00:00:00,18.585294723510742
59,-1 days +06:00:00,14.508721351623535
60,-1 days +12:00:00,
61,0 days 00:00:00,24.79644775390625
62,0 days 06:00:00,35.323909759521484
63,0 days 12:00:00,
64,1 days 00:00:00,44.7338981628418
65,1 days 06:00:00,16.783418655395508
66,-1 days +06:00:00,21.206748962402344
67,-1 days +12:00:00,10.513787269592285
68,0 days 00:00:00,11.903748512268066
69,0 days 06:00:00,8.824102401733398
70,0 days 12:00:00,19.335718154907227
71,1 days 00:00:00,
72,1 days 06:00:00,16.988832473754883
73,-1 days +18:00:00,19.57443618774414
74,0 days 00:00:00,12.383768081665039
75,0 days 12:00:00,34.88576889038086
76,0 days 18:00:00,16.163143157958984
77,1 days 00:00:00,15.576250076293945
78,-1 days +06:00:00,11.084562301635742
79,-1 days +12:00:00,8.652200698852539
80,0 days 00:00:00,12.31424617767334
81,0 days 06:00:00,12.499507904052734
82,1 days 00:00:00,13.42774486541748
83,-1 days +12:00:00,20.0343074798584
84,0 days 00:00:00,19.624799728393555
85,0 days 06:00:00,7.248471736907959
86,0 days 12:00:00,
87,1 days 00:00:00,23.891788482666016
88,-1 days +18:00:00,23.891788482666016
89,0 days 00:00:00,14.550222396850586
90,0 days 06:00:00,14.395156860351562
91,0 days 18:00:00,
92,1 days 00:00:00,51.26100540161133
93,-1 days +18:00:00,16.25238800048828
94,0 days 00:00:00,19.427722930908203
95,0 days 06:00:00,14.937885284423828
96,0 days 18:00:00,9.81918716430664
97,1 days 00:00:00,
98,1 days 06:00:00,13.906556129455566
99,-1 days +06:00:00,12.478769302368164
100,-1 days +12:00:00,14.104948997497559
101,0 days 00:00:00,26.05648422241211
102,0 days 06:00:00,49.23629379272461
103,0 days 12:00:00,
104,1 days 00:00:00,11.375436782836914
105,-3 days +12:00:00,10.769817352294922
106,-2 days +00:00:00,5.337610721588135
107,-2 days +06:00:00,11.781861305236816
108,-2 days +12:00:00,7.433310508728027
109,-1 days +00:00:00,4.95517110824585
110,-1 days +06:00:00,17.06857681274414
111,-1 days +12:00:00,10.664522171020508
112,0 days 00:00:00,15.395299911499023
